Event #,Event Name,Brief Description,Event Start Date and Time,Event End Date and Time,Event Duration,Event Category,Track,Ribbon,Maximum Players for Event,Price,Company or Gaming Group,Game Master,Game Manufacturer,Game System and Edition,Rules Taught?,Materials Provided?,Tournament Style,Tournament Round,Minimum Age,Game Complexity,Experience
1950,Lightseekers Learn to Play,Receive a Lightseekers starter deck of your choice and instruction on how to play.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,CCG/TCG,,,32,20,Cascade Games LLC,,PlayFusion,,Yes,Yes,Swiss,Full Tournament,5+,Med,Beginner
6779,Pokemon Prerelease-style Kit Battle,Receive a Pokemon Prerelease Kit featuring 4 booster packs and a special evolution pack to draft and build a deck! Keep the cards! Basic energies provided by staff. Swiss rounds with prizes for everyone!,6/14/2018 12:00,6/14/2018 14:00,2 Hours,CCG/TCG,,,32,20,The Pokemon Company International,A.J. Schumacher,Pokemon,Pokemon TCG,Yes,Yes,Swiss,,5+,Low,Beginner
8052,Star Wars Destiny On Demand Rivals Escape Pods,8 Player on demand pods. Bring your constructed deck and compete. 3 rounds of swiss. Players receive 6 booster packs for drafting.,6/14/2018 12:00,6/14/2018 21:00,2 Hours,CCG/TCG,,,100,26,Cascade Games LLC,Steve Cameron,Fantasy Flight Games,Star Wars Destiny,No,Yes,Swiss,,10+,Med,Intermediate
503,Learn to Play – Warlord Games Pike & Shotte,"From the dark ages to the crusades, from Africa to Japan. This game allows recreation of thousands of battles, or what if’s like “what would happen if a Swiss Pike Square faced off with Japanese Samurai.",6/14/2018 12:00,6/13/2018 14:00,2 Hours,Miniature,,,4,2,SGG,SGG,Warlord Games,Pike and Shotte,Yes,Yes,,,10+,Med,Beginner
6950,Fresco,"Rules taught. Winner keeps the game! As master painters, the players must work to restore the fresco in a renaissance church.",6/14/2018 12:00,6/14/2018 12:00,2 Hours,Tabletop,,,4,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
682,Learn to Play - 5th Epoch's Boxed Battles: Cold War Evolution,Tactical conflict between the forces of the NATO and the Warsaw Pact during the escalating Cold War. Played with 6mm - 1/285 micro armor.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,,,4,2,SGG,SGG,5th Epoch,Boxed Battles,Yes,Yes,,,13+,Med,Beginner
5614,1775 Rebellion - The American Revolution,"1775 is a team based board game for 2-4 players set during the American Revolution, the second in the Birth of America series from Academy Games. Quick to learn, fun to play, all experience levels welcome!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Academy Games,Ashley,Academy Games,,Yes,Yes,,,10+,Low,Beginner
5637,Freedom - The Underground Railroad,Freedom is an engaging cooperative board game where 1-4 players take on the roles of Abolitionists in the eras leading up to the Civil War. All experience levels welcome!,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Academy Games,Ashley,Academy Games,,Yes,Yes,,,13+,Low,Beginner
5660,878 Vikings - Invasions of England,"A team based board game for 2-4 players set during the Viking Invasions of England, first in the Birth of Europe Series from Academy Games. Quick to learn, fun to play, all experience levels welcome!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Academy Games,Ashley,Academy Games,,Yes,Yes,,,13+,Low,Beginner
5710,1812 - The Invasion of Canada,"A team based board game for 2-4 players set during The War of 1812, the first game in the Birth of America series by Academy Games. Quick to learn, fun to play, all experience levels welcome!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Academy Games,Ashley,Academy Games,,Yes,Yes,,,13+,Low,Beginner
5734,Agents of Mayhem - Pride of Babylon,"Brand New! A team v. team skirmish game for 2-4 players, played on a modular, fully destructible 3D board, with a radiant campaign that changes with each play-through. All experience levels welcome!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Academy Games,Ashley,Academy Games,,Yes,Yes,,,13+,Low,Beginner
8124,Lost in R'lyeh,"Learn to play a fast-paced, Lovecraftian card game where there's no winner… just a single loser!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,12,2,Atlas Games,Atlas Games,Atlas Games,Lost in R'lyeh,Yes,Yes,,,10+,Low,Beginner
1630,Endeavor: Age of Sail,"The original game reimagined, engine building and area control in the Age of Sail.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Grand Gaming Academy,Grand Gaming Academy,BIG/GGG,Current,Yes,Yes,,,13+,Med,Beginner
1983,Battletech Grinder,This is our most popular event for all ability levels. This casual game plays continuously all convention & allows players to come & go as their schedule allows.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,,,13,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Total Warfare,Yes,Yes,,,10+,Low,Beginner
2328,Dragonfire: The Wastes of Ancient Empire,Scenario from core box: Adventure Level 1,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Dragonfire,Yes,Yes,,,13+,Low,Beginner
1867,A Game of Thrones Floor Game,The battle to defend the Realms of Man begins in A Game of Thrones Catan: Brotherhood of the Watch,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Catan Studio,,Catan Studio,1st,No,Yes,,,17+,Med,Intermediate
1891,Star Trek Catan Floor Game,"Play Catan, with classic Star Trek characters to help you! Play this on our giant floor version of the game!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Catan Studio,,Catan Studio,1st,No,Yes,,,10+,Med,Intermediate
1905,Catan Floor Game,"The classic game of building & trading, on a set so large it won't fit on a table! Play this on our giant floor version of the game!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Catan Studio,,Catan Studio,5th,No,Yes,,,10+,Med,Intermediate
6859,Stealing the Eye,"In that classic scene of stealing a gem from the forehead of a statue, players have a chance to learn the rules to the upcoming game Runequest. Pre-gens and rules provided. Demo to the game system.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,RPG,,,8,2,Chaosium Inc.,,Chaosium Inc.,RuneQuest: Roleplaying in Glorantha,Yes,Yes,,,13+,Low,Beginner
7927,Too Many Bones - Undertow,"The hotly anticipated sequel to the award winning Dice Builder RPG, Too Many Bones! Bring friends for this coop standalone expansion with brand new characters, baddies, skills and adventures! #TMBU",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,8,2,Chip Theory Games,,Chip Theory Games,Too Many Bones - Undertow,Yes,Yes,,,10+,Med,Beginner
522,Learn to Play – Corvus Belli’s Infinity,"Table top miniatures meets Japanese Manga and modern game rules design. Learn to play this fast skirmish game, there are many factions to choose from, each with their own unique look and features.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,,,4,2,SGG,SGG,Corvus Belli,Infinity,Yes,Yes,,,10+,Med,Beginner
2708,Pulsar 2849 - Learn 2 Play,Who doesn't want to run their own space mining company? Explore space! Claim pulsars! Discover technologies that will help you build an energy-distribution infrastructure on a cosmic scale!,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,,,Czech Games Edition,,Yes,Yes,,,13+,Med,Beginner
2738,Alchemists - Learn 2 Play,"Create Potions! Should you drink it? Maybe not. After all, that's what students are for. Experiment! Research! Publish! Will you be the top dog or a toad on the floor?",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,,,Czech Games Edition,,Yes,Yes,,,13+,High,Beginner
6159,The Scarlet Pimpernel,"In The Scarlet Pimpernel, you play as members of the league helping the Scarlet Pimpernel accomplish seven missions, rescuing the innocent from the guillotine.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,Eagle-Gryphon Games,Wingman,Eagle-Gryphon Games,,Yes,Yes,,,10+,Low,Beginner
6753,Atlantis Rising,2 to 6 Counselors are charged with saving the Atlanteans before the Isle of Atlantis sinks into the ocean,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,,,Elf Creek Games,,Yes,Yes,,,10+,Med,Beginner
5603,Dwarven Smithy,"Crafting Card Game - Take on the role of a dwarven blacksmith and gather resources, make items, forge tools, train apprentices and craft King’s items in secret to win the most gold!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Flatworks Gaming,Mike Warth,Flatworks Gaming,Dwarven Smithy,Yes,Yes,,,13+,Med,Beginner
531,Shattered Crown,"WWI takes a weird twist as abandoned Martian technology is incorporated into each nation's weapons systems. Fast, Fun & Furious gaming on a realistic terrain that includes trenches and towns.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,First Look,,4,2,SGG,SGG,Gaddis Gaming,Shattered Crown,Yes,Yes,,,10+,Med,Beginner
8376,Firefly Adv Respectable Folk,The Companion Inara and Shepherd Book join the crew in Firefly Adventures! A cooperative game featuring the crew of Serenity; working together to thwart local goons and get the job done.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Gale Force Nine,,Gale Force Nine,,Yes,Yes,,,13+,Med,Beginner
8390,Firefly Adv Wanted Fugitives,The fugitive River and her brother Simon join the crew in Firefly Adventures! A cooperative game featuring the crew of Serenity; working together to thwart local goons and get the job done.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Gale Force Nine,,Gale Force Nine,,Yes,Yes,,,13+,Med,Beginner
2363,Learn to play Shadow War Armageddon,"Armageddon is wracked with grueling battles are fought within the hives: the ancient, towering cities that are the last strongholds of Humanity. Squad Action in inspired dense terrain, with specialist fighters.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,,,4,2,SGG,Doug Houseman,Games Workshop,Shadow War Armageddon,Yes,Yes,,,10+,Low,Beginner
7845,Shuffling Horror: Roswell 51,"The Time: 1951. The Place: Roswell. The Problem: Sci-fi invasion! B-movie action awaits in this 1950s space invasion flick. Stop the pods, blobs, and UFOs in this cinematic card-n-dice game.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,GameWick Games,Alan Clift,GameWick Games,Shuffling Horror,Yes,Yes,,,13+,Low,Beginner
7803,GrogHeads Presents: Time of Crisis,"The Roman Empire is struggling, and it's up to you to save it. Of course, everyone else wants to ""save"" it too!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,GrogHeads,Mike Colello,GMT Games/Enterprise Games,,Yes,Yes,,,10+,Med,Intermediate
1716,King of New York Tournament,Become the King of New York! Participate in this multi-round tournament for a chance to win the Lolibot character!,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,24,2,,,IELLO USA LLC,"King of New York, current",no,yes,Swiss,,10+,Med,Expert
7828,GrogHeads Presents: Sergeants!,Man-to-man WWII battles with a beautiful tabletop layout,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,6,2,GrogHeads,Jim Owczarski,Lost Battalion Games,,Yes,Yes,,,10+,Med,Intermediate
1441,Warpath: Learn to Play,"Come & learn this new sci-fi miniatures game. Everything is provided, pick an army & crush your enemies.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Miniature,,,4,2,Ohio War Kings,,Mantic Games,Warpath 1st (2017),Yes,Yes,,,13+,Med,Intermediate
6528,Dead Man's Draw,A strategic card game of risk and reward for 2 to 4 players. Players take turns drawing cards and combining their special abilities to plunder the most loot without busting their entire hands.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,7,2,Boars Head Games,Todd Evangelista,Mayday Games,Dead Man's Draw 2nd,Yes,Yes,3 Game Guarantee,,13+,Low,Beginner
5376,50th Anniversary Nuclear Submarine USS Scorpion (Mysteries Theme),"Sinking of the Scorpion: theories fill an information vacuum, from internal torpedo detonation to Russian ambush. Lecture covers history, Cold War backdrop, predominant theories and makes conclusions",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Origins University,War College,Origins University,50,2,NSDMG,Capt Mark McDonagh USN (ret) (Nuclear Submarine Officer),NSDMG,,Yes,Yes,,,13+,Med,Beginner
5371,The Legacy of the 1968 TET Offensive,Vietnam and its relations in the Modern world. (50th Anniversary),6/14/2018 12:00,6/14/2018 14:00,2 Hours,Origins University,War College,Origins University,100,2,NSDMG,MerleRobinson,NSDMG,,Yes,Yes,,,13+,Med,Beginner
2985,Project Diva Future Tone PS4,Tournament for Project Diva for PS4,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Eclectics,,,64,2,Nexus Gaming Alliance,Final Boss Gaming T.O.,Playstation 4,Playstation 4,Yes,Yes,Single Elimination,Full Tournament,10+,Low,Intermediate
7941,AKB0048 (Episodes 1-4),TV-PG. Subbed. Sentai Filmworks. Sci-fi anime based on the popular J-Pop band.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Eclectics,Anime/Cosplay,,50,2,Wasabi Anime,,Sentai Filmworks,,Yes,Yes,,,13+,Low,Beginner
8224,Munchkin the CCG - Learn to play,Learn to play Munchkin The Collectible Card game,6/14/2018 12:00,6/14/2018 14:00,2 Hours,CCG/TCG,,,24,2,Steve Jackson Games,,Steve Jackson Games,,Yes,Yes,,,13+,Med,Beginner
1613,Dairy Man/Okey Dokey,"Make cheese, make music!",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,4,2,Grand Gaming Academy,Grand Gaming Academy,TMG,Current,Yes,Yes,,,13+,Med,Beginner
4808,Legendary: A MARVEL Deck Building Game Win-A-Box,Play against four other competitors. The player with the most Victory Points wins a Legendary: Champions expansion box.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,Champions,No,Yes,,,13+,Med,Intermediate
4905,Legendary: A MARVEL Deck Building Game Win-A-Box,Play against four other competitors. The player with the most Victory Points wins a Legendary: Champions expansion box.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,Champions,No,Yes,,,13+,Med,Intermediate
4771,Contest of Champions: Battlerealm Win-A-Box,The winner of the game receives their own copy of this game.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,No,Yes,,,10+,Med,Intermediate
4797,Dungeon Draft Win-A-Box,The winner of the game receives their own copy of this game.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,No,Yes,,,10+,Med,Intermediate
4868,Contest of Champions: Battlerealm Win-A-Box,The winner of the game receives their own copy of this game.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,No,Yes,,,10+,Med,Intermediate
4894,Dungeon Draft Win-A-Box,The winner of the game receives their own copy of this game.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,No,Yes,,,10+,Med,Intermediate
4757,Contest of Champions: Battlerealm Beginner Game,"Take on the role of your favorite Marvel hero and be pitted in an all-out, knockdown, drag out slugfest! Do you have what it takes to be the last Hero standing?",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4784,Dungeon Draft Beginner Game,"Draft cards to use gold to recruit Heroes and Weapons allowing you to defeat Monsters with attack, acquire additional gold and gain sought after XP.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4818,Quest For The Antidote Beginner Game,Every player has been poisoned. Will you be the first to return with the ingredients you need?,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4834,Vs. System 2PCG Constructed Beginner Game,Take your first steps in the world of Vs System 2PCG as you take control of a Marvel character and battle your opponent to victory.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,CCG/TCG,,,8,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4854,Contest of Champions: Battlerealm Beginner Game,"Take on the role of your favorite Marvel hero and be pitted in an all-out, knockdown, drag out slugfest! Do you have what it takes to be the last Hero standing?",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4881,Dungeon Draft Beginner Game,"Draft cards to use gold to recruit Heroes and Weapons allowing you to defeat Monsters with attack, acquire additional gold and gain sought after XP.",6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,10+,Med,Beginner
4915,Quest For The Antidote Beginner Game,Every player has been poisoned. Will you be the first to return with the ingredients you need?,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,10,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
4931,Vs. System 2PCG Constructed Beginner Game,Take your first steps in the world of Vs System 2PCG as you take control of a Marvel character and battle your opponent to victory.,6/14/2018 12:00,6/14/2018 14:00,2 Hours,CCG/TCG,,,8,2,Upper Deck,Mark Shaunessy,Upper Deck,First,Yes,Yes,,,13+,Med,Beginner
7875,Star Realms Casual Event,Play Star Realms in a casual environment perfect for new and/or casual players. Promos for all participants. Door Prizes!,6/14/2018 12:00,6/14/2018 14:00,2 Hours,Tabletop,,,24,2,White Wizard Games,,White Wizard Games,Star Realms Rules,Yes,Yes,Swiss,,10+,Low,Beginner
8210,Munchkin the CCG - draft event featuring Blarg!,A draft event featuring the Desolation of Blarg booster pack,6/14/2018 12:00,6/14/2018 15:00,3 Hours,CCG/TCG,,,16,16,Steve Jackson Games,,Steve Jackson Games,,No,Yes,,,13+,Med,Intermediate
2623,Settlers of America,Come to play just for fun or to compete in the tournament. Use the familiar Catan system to build rails & settle the American West. Finals on Friday at 9 pm,6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,8,4,Train Gamers Association,Trella Bromley,Catan Studios,1st,No,Yes,Swiss,Round 1,10+,Med,Intermediate
6160,The Gallerist,"Promote and nurture Artists; buy, display, and sell their Art; and build your international reputation while gaining the respect needed to draw visitors to your Gallery from all over the world.",6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,4,4,Eagle-Gryphon Games,Wingman,Eagle-Gryphon Games,,Yes,Yes,,,13+,Med,Beginner
1060,Merchant of Venus,"Fantasy Flight's new 2nd edition of the Avalon Hill classic space-based ""pickup & deliver"" game. Customized gameset. Generics Welcome. RogueJudges.org",6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,8,4,Rogue Judges,Logan Graves,Fantasy Flight Games,Merchant of Venus,Yes,Yes,,,13+,Med,Beginner
5093,FASA Start Trek: Operation Breakthrough,FASA Start Trek battle Klingon vs. Federation,6/14/2018 12:00,6/14/2018 15:00,3 Hours,Miniature,,,8,4,,Chris Norton,FASA,Star Trek: Starship Tactical Combat Simulator,Yes,Yes,,,13+,Low,Beginner
6507,Battlestations: Gigantic,Crew a starship on amazing adventures on these supersized boards!,6/14/2018 12:00,6/14/2018 15:00,3 Hours,Miniature,,,14,4,Broken Leg Gamers,Jeff Siadek,Gorilla Games,Battlestations 2.0,Yes,Yes,,,13+,Med,Beginner
1054,Lords of Waterdeep: Scoundrels of Skullport,"Power leads to corruption, who knew? Skullport adds new locations, buildings, quests, etc. to the great work placement game Lords of Waterdeep.",6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,12,4,Rogue Judges,Kristin Genchi,Hasbro,Lords of Waterdeep,Yes,Yes,,,13+,Med,Beginner
1647,Smiths of Winterforge,Earn money and reputation to secure the contract with the royal family.,6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,4,4,Grand Gaming Academy,Grand Gaming Academy,Passport,Current,Yes,Yes,,,13+,High,Beginner
2602,Railroad Revolution,"In Railroad Revolution, you will manage your own railroad company in America. You will build railroads, establish stations, expand the telegraph network, and chase your objectives.",6/14/2018 12:00,6/14/2018 15:00,3 Hours,Tabletop,,,8,4,Train Gamers Association,Trella Bromley,What's Your Game?,1st,Yes,Yes,,,10+,Med,Beginner
1452,Force of Will,Play the Force of Will CCG Wanderer Format. Winner recieves a bye to the Sat event. More based on attendance. Demos given on site as well.,6/14/2018 12:00,6/14/2018 16:00,4 Hours,CCG/TCG,,,16,8,,Daniel Rowland,Force of Will,Wanderer,No,No,Swiss,Full tournament,13+,Med,Intermediate
8046,Star Wars X-Wing On Demand Hangar Bay Tournaments,100 Point Squad lists. Each player can bring 2 lists. Lists cannot share the same printed pilot skill. 3 rounds of Swiss Play,6/14/2018 12:00,6/14/2018 17:00,4 Hours,Miniature,,,16,14,Cascade Games LLC,Steve Cameron,Fantasy Flight Games,Star Wars X-Wing Miniatures,No,No,Swiss,,10+,Med,Intermediate
8446,Two-Headed Giant,"Bring a friend and play in this fun Sealed deck play. Each Team receives 12 boosters, builds two decks, and plays 3 Swiss rounds. Prizes are per player.",6/14/2018 12:00,6/14/2018 16:00,4 Hours,CCG/TCG,,,64,26,Pastimes,,Wizards of the Coast,,No,Yes,Swiss,Full tournament,5+,Med,Intermediate
1101,Sid Meier's Civilization: The Board Game,"Become the first civilization to leave your mark in history while exploring the world, researching new technologies, and conquering your enemies.",6/14/2018 12:00,6/14/2018 16:00,4 Hours,Tabletop,,,4,4,Rogue Judges,Geoff Mize,Fantasy Flight Games,Sid Meier's Civilization: The Board Game,Yes,Yes,,,13+,Med,Beginner
991,Arkham Horror,Look what I found in the basement of the Miskatonic Library. Help save the City of Arkham from unspeakable creatures. RogueJudges.org Generics Welcome,6/14/2018 12:00,6/14/2018 16:00,4 Hours,Tabletop,,,16,4,Rogue Judges,Joe Bazeley,Fantasy Flight Games,Arkham Horror,Yes,Yes,,,13+,High,Beginner
1538,Baker Street: Roleplaying in the World of Sherlock Holmes,The Case of the Folio Caper,6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Fearlight Games,Amanda Kahl,Fearlight Games,Baker Street 1st Edition,Yes,Yes,,,17+,Low,Beginner
6238,Trouble at Strange Sammy's,Your crew of adventurers are snowed in at a sleepy frontier inn. Great danger and great power await you! A beginner's adventure for Dungeon Crawl Classics RPG.,6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Minneapolis DCC RPG Society,Julian Bernick,Goodman Games,Dungeon Crawl Classics RPG,Yes,Yes,,,13+,Med,Beginner
5432,Under the Cover of Night,There’s folks up to no good in the City of Lankhmar. You’re one of them. It’s time to get rich or get dead.,6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Goodman Games,Michael Curtis,Goodman Games,DCC Lankhmar,Yes,Yes,,,13+,Med,Intermediate
3030,Dreamchaser: A Game of Destiny,Hatch the Last Dragon Egg • Bring Firefly Back to TV • Eliminate a Split Personality…Dreamchaser zeroes in on what interests players and helps them build a story around it. This is our story!,6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,4,4,Indie Game Developer Network,Pete Petrusha,Imagining Games,Dreamchaser,Yes,Yes,,,10+,Low,Beginner
8476,Numenera: Ashes of the Sea,"While exploring a prior world ruin, an ancient device sent the characters to distant reaches unknown. The key home lies within an ancient site, rife with dangers of its original function.",6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Monte Cook Games,,Monte Cook Games,Cypher System,Yes,Yes,,,13+,Low,Beginner
3820,Cthulu Wars,"The Great Old Ones have arisen! Choose your faction, collect all 6 spellbooks and score the highest doom to take control of Earth",6/14/2018 12:00,6/14/2018 16:00,4 Hours,Tabletop,,,5,4,Scott Dice Games,Dakota Huss,Petersen Games,Call of Cthulu,Yes,Yes,,,13+,Med,Beginner
6483,G1 - Steading of the Hill Giant Chief,"Your Party must infiltrate an ominous steading in the foothills of the Jotens to foil the Hill Giants' plans to invade the Grand Duchy of Geoff. ADD 2.5 rules (taught); age 13+,",6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Boars Head Games,Scott Nemmers,TSR {Wizards of the Coast} (Hasbro),AD&D 2.5 EDITION (Modified),Yes,Yes,,,13,Med,Intermediate
6491,G1 - Steading of the Hill Giant Chief,"Your Party must infiltrate an ominous steading in the foothills of the Jotens to foil the Hill Giants' plans to invade the Grand Duchy of Geoff. ADD 2.5 rules (taught); age 13+,",6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,6,4,Boars Head Games,Scott Nemmers,TSR {Wizards of the Coast} (Hasbro),AD&D 2.5 EDITION (Modified),Yes,Yes,,,13,Med,Intermediate
6100,Golden Hour: Jupiter Knights,"In 2525 AD, the solar system is in the iron grip of Earth’s new government, the Galactic Defense Corps. Can the Jupiter Knights stop their advance? JUPITER KNIGHTS, from the producers of ADGNEPSEF555!",6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,8,4,Windmill Game Co.,Robert Anderson,Windmill Game Co.,Golden Hour 1st Ed,Yes,Yes,,,13+,Low,Beginner
3743,STARBLAZERS - DESLOK II vs ANDROMEDA,Superdreadnoughts and fighter groups face off in a fight to the death. Basic scenario to illustrate game concepts and tactics. Appropriate for new players.,6/14/2018 12:00,6/14/2018 16:00,4 Hours,Miniature,,,8,4,NCG,Paul Meyer,,"""NOWS STARBLAZERS""",Yes,Yes,,,10+,Low,Beginner
983,Familiar on the Roof!,Pagans are caught between Colonial Salem & Dark Forces. If I were a witch man.,6/14/2018 12:00,6/14/2018 16:00,4 Hours,RPG,,,5,4,WAG,Ryan Weidenbenner,,"Call of Cthulhu, Third Edition",Yes,Yes,,,18+,Low,Intermediate
1367,"Hive, Queen and Country-Operation Pegasus",For months the Alien Hives have continued to grow. The armies of humanity face this menace and slowly the military and technological,6/14/2018 12:00,6/14/2018 17:00,5 Hours,Miniature,,,18,6,Aerolyth Enterprises,"Terry Sofian, Arun Rodrigues, Lucy Krawinkel",Aerolyth Enterprises,The Hive and the Flame,Yes,Yes,,,13+,Low,Beginner
6565,The Pit - The Board Game,"The Pit - The Board Game is a cooperative scifi dungeon crawler, set in the Sword of the Stars Universe. 4 Players take control of Solforce operatives as they traverse the halls and rooms of The Pit.",6/14/2018 12:00,6/14/2018 17:00,5 Hours,Tabletop,First Look,,5,6,Kerberos Productions,,Kerberos Productions,The Pit - The Board Game Beta,Yes,Yes,,,13+,Med,Beginner
3898,Axis & Allies 1914 (WWI),This is a casual game of 1914 WWI version of Axis & Allies. Up to 8 players one for each country. Some rules will be taught,6/14/2018 12:00,6/14/2018 18:00,6 Hours,Tabletop,,,8,6,SmoreySwamp Axis & Allies Gamers,Greg Smorey,WotC,AA 1914,No,Yes,,,13+,Med,Intermediate
7951,The Wasabi Anime Manga Library (DAY 1),"Looking to take a break from the hustle and bustle of crowds, games, and seminars? Swing by the anime track and take a load off by reading some Japanese graphic novels… aka “manga”!",6/14/2018 12:00,6/14/2018 21:00,9 Hours,Eclectics,Anime/Cosplay,,50,8,Wasabi Anime,,Wasabi Anime,,Yes,Yes,,,13+,Low,Beginner
7623,Origins Dungeon Crawl Monster,"Please check out our facebook group ""Chicago Regional LARP"" http://tinyurl.com/pl36om9 for more information.",6/14/2018 13:00,6/14/2018 14:00,1 Hour,LARP,,,5,4,Chicago LARP,Steve Cecchin,Chicago LARP,1st,Yes,Yes,,,10+,Low,Beginner
1287,IELLO League,The IELLO League is a program that allows you to win promos just by playing our games (no winning required!).,6/14/2018 13:00,6/14/2018 14:00,1 Hour,Tabletop,,,15,6,,,IELLO USA LLC,"IELLO, current",yes,yes,,,5+,Low,Beginner
